,,117,116.902954,,
,,118,117.9016066,,
,,119,118.9033112,,
,,120,119.9022016,,
,,122,121.9034438,,
,,124,123.9052766,,
51,Sb,121,120.903812,121.7601,
,,123,122.9042132,,
52,Te,120,119.9040593,127.603,
,,122,121.9030435,,
,,123,122.9042698,,
,,124,123.9028171,,
,,125,124.9044299,,
,,126,125.9033109,,
,,128,127.9044613,,
,,130,129.9062227,,
53,I,127,126.9044719,126.904473,
54,Xe,124,123.905892,131.2936,
,,126,125.9042983,,
,,128,127.903531,,
,,129,128.9047809,,
,,130,129.9035093,,
,,131,130.9050841,,
,,132,131.9041551,,
,,134,133.9053947,,
,,136,135.9072145,,
55,Cs,133,132.905452,132.905452,
56,Ba,130,129.9063207,137.3277,
,,132,131.9050611,,
,,134,133.9045082,,
,,135,134.9056884,,
,,136,135.9045757,,
,,137,136.9058271,,
,,138,137.905247,,
57,La,138,137.9071149,138.905477,
,,139,138.9063563,,
58,Ce,136,135.9071292,140.1161,
,,138,137.9059911,,
,,140,139.9054431,,
,,142,141.9092504,,
59,Pr,141,140.9076576,140.907662,
60,Nd,142,141.907729,144.2423,
,,143,142.90982,,
,,144,143.910093,,
,,145,144.9125793,,
,,146,145.9131226,,
,,148,147.9168993,,
,,150,149.9209022,,
61,Pm,145,144.9127559,145,
,,147,146.915145,,
62,Sm,144,143.9120065,150.362,
,,147,146.9149044,,
,,148,147.9148292,,
,,149,148.9171921,,
,,150,149.9172829,,
,,152,151.9197397,,
,,154,153.9222169,,
63,Eu,151,150.9198578,151.9641,
,,153,152.921238,,
64,Gd,152,151.9197995,157.253,
,,154,153.9208741,,
,,155,154.9226305,,
,,156,155.9221312,,
,,157,156.9239686,,
,,158,157.9241123,,
,,160,159.9270624,,
65,Tb,159,158.9253547,158.925352,
66,Dy,156,155.9242847,162.5001,
,,158,157.9244159,,
,,160,159.9252046,,
,,161,160.9269405,,
,,162,161.9268056,,
,,163,162.9287383,,
,,164,163.9291819,,
67,Ho,165,164.9303288,164.930332,
68,Er,162,161.9287884,167.2593,
,,164,163.9292088,,
,,166,165.9302995,,
,,167,166.9320546,,
,,168,167.9323767,,
,,170,169.9354702,,
69,Tm,169,168.9342179,168.934222,
70,Yb,168,167.9338896,173.0545,
,,170,169.9347664,,
,,171,170.9363302,,
,,172,171.9363859,,
,,173,172.9382151,,
,,174,173.9388664,,
,,176,175.9425764,,
71,Lu,175,174.9407752,174.96681,
,,176,175.9426897,,
72,Hf,174,173.9400461,178.492,
,,176,175.9414076,,
,,177,176.9432277,,
,,178,177.9437058,,
,,179,178.9458232,,
,,180,179.946557,,
73,Ta,180,179.9474648,180.947882,
,,181,180.9479958,,
74,W,180,179.9467108,183.841,
,,182,181.9482039,,
,,183,182.9502228,,
,,184,183.9509309,,
,,186,185.9543628,,
75,Re,185,184.9529545,186.2071,
,,187,186.9557501,,
76,Os,184,183.9524885,190.233,
,,186,185.953835,,
,,187,186.9557474,,
,,188,187.9558352,,
,,189,188.9581442,,
,,190,189.9584437,,
,,192,191.961477,,
77,Ir,191,190.9605893,192.2173,
,,193,192.9629216,,
78,Pt,190,189.9599298,195.0849,
,,192,191.9610387,,
,,194,193.9626809,,
,,195,194.9647917,,
,,196,195.9649521,,
,,198,197.9678949,,
79,Au,197,196.9665688,196.9665695,
80,Hg,196,195.9658326,200.5923,
,,198,197.9667686,,
,,199,198.9682806,,
,,200,199.9683266,,
,,201,200.9703028,,
,,202,201.9706434,,
,,204,203.973494,,
81,Tl,203,202.9723446,204.382,204.385
,,205,204.9744278,,
82,Pb,204,203.973044,207.21,
,,206,205.9744657,,
,,207,206.9758973,,
,,208,207.9766525,,
83,Bi,209,208.9803991,208.980401,
84,Po,209,208.9824308,209,
,,210,209.9828741,,
85,At,210,209.987148,210,
,,211,210.9874966,,
86,Rn,211,210.9906012,222,
,,220,220.0113941,,
,,222,222.0175782,,
87,Fr,223,223.019736,223,
88,Ra,223,223.0185023,226,
,,224,224.020212,,
,,226,226.0254103,,
,,228,228.0310707,,
89,Ac,227,227.0277523,227,
90,Th,230,230.0331341,,
,,232,232.0380558,232.03774,
91,Pa,231,231.0358842,231.035882,
92,U,233,233.0396355,,
,,234,234.0409523,238.028913,
,,235,235.0439301,,
,,236,236.0455682,,
,,238,238.0507884,,
93,Np,236,236.0465705,237,
,,237,237.0481736,,
94,Pu,238,238.0495601,244,
,,239,239.0521636,,
,,240,240.0538138,,
,,241,241.0568517,,
,,242,242.0587428,,
,,244,244.0642054,,
95,Am,241,241.0568293,,
,,243,243.0613813,,
96,Cm,243,243.0613893,,
,,244,244.0627528,,
,,245,245.0654915,,
,,246,246.0672238,,
,,247,247.0703541,,
,,248,248.07235,,
97,Bk,247,247.0703074,,
,,249,249.0749877,,
98,Cf,249,249.0748539,,
,,250,250.0764062,,
,,251,251.0795886,,
,,252,252.0816273,,
99,Es,252,252.0829805,,
100,Fm,257,257.0951062,,
