#
#  Z   A s fl     Mexp      Err       Mth    beta2   beta4     rhon     rn       an       rhop     rp       ap   
#                [MeV]     [MeV]     [MeV]                    [fm-3]   [fm]     [fm]     [fm-3]   [fm]     [fm]  
#-----------------------------------------------------------------------------------------------------------------
   0   1 n  2     8.071     0.000                                                                                
   5  15 B  2    28.972     0.022                                                                                
   5  16 B  2    37.082     0.060                                                                                
   5  17 B  2    43.771     0.171                                                                                
   5  18 B  1    52.322     0.801                                                                                
   5  19 B  1    59.364     0.401                                                                                
   6   8 C  2    35.094     0.023                                                                                
   6   9 C  2    28.910     0.002                                                                                
   6  10 C  2    15.699     0.000                                                                                
   6  11 C  2    10.650     0.001                                                                                
   6  12 C  2     0.000     0.000                                                                                
   6  13 C  2     3.125     0.000                                                                                
   6  14 C  2     3.020     0.000                                                                                
   6  15 C  2     9.873     0.001                                                                                
   6  16 C  2    13.694     0.004                                                                                
   6  17 C  2    21.039     0.017                                                                                
   6  18 C  2    24.926     0.030                                                                                
   6  19 C  2    32.421     0.098                                                                                
   6  20 C  2    37.558     0.239                                                                                
   6  21 C  1    45.960     0.503                                                                                
   6  22 C  1    53.281     0.904                                                                                
   7  10 N  2    38.800     0.400                                                                                
   7  11 N  2    24.304     0.046                                                                                
   7  12 N  2    17.338     0.001                                                                                
   7  13 N  2     5.345     0.000                                                                                
   7  14 N  2     2.863     0.000                                                                                
   7  15 N  2     0.101     0.000                                                                                
   7  16 N  2     5.684     0.003                                                                                
   7  17 N  2     7.871     0.015                                                                                
   7  18 N  2    13.114     0.019                                                                                
   7  19 N  2    15.862     0.016                                                                                
   7  20 N  2    21.765     0.056                                                                                
   7  21 N  2    25.251     0.095                                                                                
   7  22 N  2    32.039     0.192                                                                                
   7  23 N  1    38.396     0.298                                                                                
   7  24 N  1    47.543     0.401                                                                                
   7  25 N  1    56.504     0.503                                                                                
   8  12 O  2    32.048     0.018                                                                                
   8  13 O  2    23.112     0.010                                                                                
   8  14 O  2     8.007     0.000                                                                                
   8  15 O  2     2.856     0.000                                                                                
   8  16 O  2    -4.737     0.000    -4.010   0.000   0.000   0.0776   2.6783   0.4511   0.0754   2.7066   0.4533
   8  17 O  2    -0.809     0.000    -0.230   0.000   0.000   0.0772   2.7812   0.4668   0.0718   2.7143   0.4856
   8  18 O  2    -0.782     0.001     0.970   0.000   0.000   0.0824   2.7917   0.5066   0.0721   2.7278   0.4754
   8  19 O  2     3.335     0.003     3.220  -0.090   0.020   0.0834   2.8542   0.5272   0.0712   2.7495   0.4633
   8  20 O  2     3.797     0.001     4.110   0.130   0.010   0.0861   2.9294   0.5144   0.0703   2.7749   0.4522
   8  21 O  2     8.063     0.012     8.810   0.140   0.000   0.0899   2.9695   0.5325   0.0683   2.8102   0.4551
   8  22 O  2     9.284     0.057    10.540   0.170   0.020   0.0896   3.0038   0.5465   0.0661   2.8167   0.4654
   8  23 O  2    14.613     0.122    14.260  -0.080   0.010   0.0954   3.0284   0.5618   0.0671   2.8273   0.4560
   8  24 O  2    19.070     0.236    21.130   0.000   0.000   0.1094   2.8230   0.6511   0.0663   2.8381   0.4492
   8  25 O  1    27.442     0.257    27.830  -0.100   0.010   0.1129   2.8681   0.6511   0.0643   2.8749   0.4503
   8  26 O  1    35.713     0.257    35.600  -0.060   0.000   0.1072   3.0423   0.6234   0.0622   2.9120   0.4551
   8  27 O  1    44.954     0.503    44.460   0.000   0.000   0.1013   3.1546   0.6549   0.0600   2.9547   0.4551
   8  28 O  1    53.850     0.596    51.840   0.000   0.000   0.1057   3.1267   0.6827   0.0577   2.9964   0.4551
   8  29 O  0                        59.870   0.130   0.110   0.1029   3.1862   0.7206   0.0588   2.9759   0.4559
   8  30 O  0                        69.570   0.250   0.260   0.1051   3.1210   0.7929   0.0586   2.9781   0.4570
   8  31 O  0                        78.660   0.340   0.310   0.1101   3.0206   0.8596   0.0588   2.9777   0.4537
   8  32 O  0                        87.380   0.330   0.180   0.1150   2.9325   0.9156   0.0589   2.9692   0.4599
   8  33 O  0                        96.470   0.360   0.110   0.1177   2.8564   0.9763   0.0579   2.9916   0.4551
   8  34 O  0                       105.630  -0.310   0.260   0.1187   2.7255   1.0759   0.0584   2.9773   0.4577
   9  14 F  1    32.658     0.401                                                                                
   9  15 F  2    16.775     0.134                                                                                
   9  16 F  2    10.680     0.008                                                                                
   9  17 F  2     1.952     0.000     2.300   0.000   0.000   0.0740   2.6940   0.4764   0.0780   2.7378   0.4997
   9  18 F  2     0.874     0.001     0.630   0.000   0.000   0.0776   2.7914   0.4612   0.0751   2.8189   0.4686
   9  19 F  2    -1.487     0.000    -2.650   0.180   0.080   0.0789   2.8703   0.4806   0.0749   2.8307   0.4603
   9  20 F  2    -0.017     0.000    -0.750   0.430   0.230   0.0816   2.9033   0.4939   0.0716   2.8296   0.4937
   9  21 F  2    -0.048     0.002    -0.570   0.260   0.090   0.0857   2.9613   0.5030   0.0724   2.8521   0.4782
   9  22 F  2     2.793     0.012     3.460   0.350   0.130   0.0831   3.0293   0.5144   0.0699   2.8778   0.4631
   9  23 F  2     3.330     0.080     3.180   0.200   0.060   0.0897   3.0770   0.5144   0.0704   2.9070   0.4551
   9  24 F  2     7.560     0.072     6.160   0.180   0.060   0.0957   3.0464   0.5461   0.0674   2.9533   0.4551
   9  25 F  2    11.273     0.098     9.740  -0.130   0.020   0.1130   2.8681   0.5918   0.0683   2.9136   0.4757
   9  26 F  2    18.272     0.167    17.220   0.170   0.030   0.1090   2.9120   0.6511   0.0661   2.9527   0.4742
   9  27 F  2    24.927     0.377    23.100   0.110   0.030   0.1068   3.0850   0.5918   0.0641   2.9912   0.4730
   9  28 F  1    33.226     0.512    30.430   0.090   0.020   0.1065   3.1267   0.6234   0.0625   3.0433   0.4541
   9  29 F  1    40.296     0.578    36.090  -0.060   0.000   0.0975   3.3038   0.6222   0.0604   3.0806   0.4546
   9  30 F  1    48.903     0.596    46.350   0.150   0.130   0.1028   3.2300   0.6871   0.0605   3.0750   0.4603
   9  31 F  1    56.289     0.597    54.360   0.290   0.280   0.1028   3.2401   0.7262   0.0586   3.1159   0.4551
   9  32 F  0                        62.770   0.390   0.340   0.1047   3.1979   0.7743   0.0584   3.0846   0.4867
   9  33 F  0                        71.570   0.380   0.230   0.1063   3.1988   0.8134   0.0583   3.1219   0.4551
   9  34 F  0                        80.960   0.440   0.230   0.1071   3.1661   0.8628   0.0583   3.1087   0.4656
   9  35 F  0                        90.850   0.390   0.080   0.1100   3.1816   0.8721   0.0577   3.1265   0.4625
   9  36 F  0                       100.730   0.460   0.100   0.1092   3.2077   0.8906   0.0568   3.1408   0.4638
   9  37 F  0                       108.610  -0.370   0.260   0.1103   3.2160   0.9168   0.0563   3.1523   0.4647
   9  38 F  0                       118.240  -0.330   0.180   0.1104   3.2312   0.9391   0.0556   3.1659   0.4651
  10  16 Ne 2    23.996     0.020                                                                                
  10  17 Ne 2    16.461     0.027                                                                                
  10  18 Ne 2     5.317     0.000     6.200   0.000   0.000   0.0723   2.7107   0.4682   0.0771   2.7982   0.5305
  10  19 Ne 2     1.751     0.000    -0.090   0.200   0.090   0.0751   2.7921   0.4963   0.0793   2.8486   0.4963
  10  20 Ne 2    -7.042     0.000    -5.010   0.400   0.210   0.0784   2.8839   0.4714   0.0759   2.9083   0.4835
  10  21 Ne 2    -5.732     0.000    -6.050   0.540   0.320   0.0773   2.9594   0.4859   0.0737   2.9251   0.4705
  10  22 Ne 2    -8.025     0.000    -6.330   0.530   0.220   0.0817   3.0293   0.4551   0.0720   2.9183   0.5065
  10  23 Ne 2    -5.154     0.000    -3.050   0.410   0.160   0.0843   3.0430   0.5002   0.0719   2.9430   0.4877
  10  24 Ne 2    -5.952     0.000    -4.480  -0.300   0.110   0.0886   3.0819   0.5107   0.0725   2.9684   0.4727
  10  25 Ne 2    -2.108     0.026    -1.720   0.250   0.050   0.0934   3.0742   0.5345   0.0714   2.9984   0.4551
  10  26 Ne 2     0.430     0.027     1.050  -0.150   0.020   0.1089   2.9120   0.5918   0.0705   3.0039   0.4664
  10  27 Ne 2     7.070     0.110     6.630   0.210   0.020   0.1118   2.9547   0.5918   0.0683   3.0448   0.4648
  10  28 Ne 2    11.245     0.147    11.670   0.150   0.000   0.1085   2.9964   0.6511   0.0663   3.0861   0.4635
  10  29 Ne 2    18.058     0.269    17.800   0.110   0.010   0.1058   3.1674   0.5918   0.0643   3.1246   0.4617
  10  30 Ne 2    23.102     0.571    24.180   0.000   0.000   0.1038   3.2073   0.6234   0.0618   3.1642   0.4602
  10  31 Ne 1    30.842     0.904    31.900   0.120   0.120   0.1010   3.2846   0.6560   0.0621   3.1624   0.4623
  10  32 Ne 1    37.278     0.801    37.680   0.440   0.340   0.0971   3.4352   0.6211   0.0602   3.2072   0.4564
  10  33 Ne 1    45.997     0.801    45.010   0.410   0.320   0.1003   3.3916   0.6713   0.0599   3.2069   0.4611
  10  34 Ne 1    53.121     0.807    52.140   0.460   0.300   0.0995   3.4666   0.6681   0.0587   3.2355   0.4590
  10  35 Ne 0                        61.030   0.470   0.250   0.1009   3.4814   0.6902   0.0575   3.2637   0.4551
  10  36 Ne 0                        68.630   0.460   0.160   0.1012   3.4847   0.7306   0.0558   3.2989   0.4551
  10  37 Ne 0                        80.940   0.480   0.120   0.1025   3.4841   0.7583   0.0561   3.2640   0.4867
  10  38 Ne 0                        85.780   0.470   0.060   0.1034   3.5002   0.7781   0.0559   3.2979   0.4551
  10  39 Ne 0                        95.540  -0.340   0.180   0.1027   3.5430   0.7927   0.0545   3.3313   0.4551
  10  40 Ne 0                       103.860  -0.300   0.100   0.1057   3.5267   0.8182   0.0551   3.3055   0.4696
  10  41 Ne 0                       113.480  -0.290   0.070   0.1056   3.6474   0.7593   0.0542   3.3332   0.4643
  10  42 Ne 0                       121.770   0.170   0.030   0.1083   3.6212   0.7911   0.0535   3.3409   0.4653
  11  18 Na 2    24.190     0.050                                                                                
  11  19 Na 2    12.927     0.012    11.480  -0.130   0.040   0.0724   2.7356   0.4582   0.0809   2.8787   0.5278
  11  20 Na 2     6.848     0.007     5.380   0.450   0.240   0.0715   2.8141   0.4825   0.0764   2.9020   0.5279
  11  21 Na 2    -2.184     0.001    -1.960   0.560   0.360   0.0748   2.8807   0.5075   0.0782   2.9484   0.4958
  11  22 Na 2    -5.182     0.000    -9.210   0.560   0.280   0.0779   2.9777   0.4729   0.0754   3.0293   0.4551
  11  23 Na 2    -9.530     0.000   -10.830   0.570   0.230   0.0742   3.0332   0.4894   0.0701   3.0186   0.4745
  11  24 Na 2    -8.418     0.000    -6.400   0.500   0.180   0.0804   3.1233   0.4551   0.0730   3.0551   0.4497
  11  25 Na 2    -9.358     0.001    -9.260   0.420   0.120   0.0855   3.1201   0.5146   0.0739   3.0313   0.4931
  11  26 Na 2    -6.862     0.006    -7.500   0.410   0.100   0.0906   3.1048   0.5221   0.0727   3.0626   0.4657
  11  27 Na 2    -5.517     0.004    -5.540   0.350   0.040   0.1049   2.8853   0.6234   0.0711   3.0850   0.4551
  11  28 Na 2    -0.989     0.013    -1.410   0.300   0.030   0.1068   2.9964   0.5918   0.0698   3.1267   0.4551
  11  29 Na 2     2.665     0.013     2.310   0.310   0.090   0.1086   3.0372   0.5918   0.0670   3.1674   0.4551
  11  30 Na 2     8.361     0.025     8.100  -0.090   0.000   0.1027   3.2073   0.5918   0.0663   3.2073   0.4551
  11  31 Na 2    12.655     0.211    12.290   0.500   0.340   0.1035   3.2462   0.5918   0.0636   3.2462   0.4551
  11  32 Na 2    19.064     0.356    17.290   0.560   0.360   0.1007   3.2843   0.6234   0.0609   3.2843   0.4551
  11  33 Na 2    24.889     0.875    22.780   0.510   0.310   0.1047   3.3216   0.6234   0.0599   3.3216   0.4551
  11  34 Na 1    32.761     0.898    30.170   0.400   0.250   0.0958   3.5495   0.5900   0.0586   3.3582   0.4551
  11  35 Na 1    39.582     0.946    35.800   0.450   0.250   0.0963   3.5764   0.6064   0.0600   3.3293   0.4536
  11  36 Na 1    47.953     0.952    43.960   0.380   0.140   0.0984   3.6060   0.6204   0.0593   3.3444   0.4554
  11  37 Na 1    55.275     0.958    50.250   0.470   0.140   0.0948   3.6205   0.6410   0.0581   3.3580   0.4556
  11  38 Na 0                        63.050   0.500   0.120   0.0991   3.6262   0.6648   0.0579   3.3693   0.4570
  11  39 Na 0                        65.990   0.480   0.040   0.1003   3.6452   0.6810   0.0566   3.4007   0.4551
  11  40 Na 0                        75.920   0.480   0.000   0.1024   3.6626   0.6968   0.0552   3.4335   0.4551
  11  41 Na 0                        84.180   0.410   0.030   0.1041   3.6943   0.6959   0.0557   3.3963   0.4867
  11  42 Na 0                        93.850  -0.290   0.060   0.1043   3.7420   0.6953   0.0544   3.4280   0.4867
  11  43 Na 0                       102.050  -0.270   0.010   0.1074   3.7095   0.7324   0.0542   3.4592   0.4551
  11  44 Na 0                       110.000  -0.110  -0.020   0.1093   3.6924   0.7705   0.0551   3.4299   0.4653
  12  19 Mg 2    33.040     0.252                                                                                
  12  20 Mg 2    17.570     0.027    15.550  -0.210   0.070   0.0707   2.7594   0.4551   0.0812   2.9294   0.5460
  12  21 Mg 2    10.911     0.016     8.710   0.250   0.090   0.0738   2.8383   0.4700   0.0834   2.9802   0.5144
  12  22 Mg 2    -0.397     0.001     0.710   0.530   0.200   0.0740   2.9046   0.4922   0.0795   3.0066   0.5074
  12  23 Mg 2    -5.474     0.001    -7.110   0.570   0.220   0.0768   3.0199   0.4453   0.0787   3.0770   0.4551
  12  24 Mg 2   -13.934     0.000   -13.600   0.570   0.170   0.0745   3.0549   0.4772   0.0716   3.0743   0.4952
  12  25 Mg 2   -13.193     0.000   -10.150   0.500   0.130   0.0803   3.1103   0.4866   0.0756   3.0949   0.4790
  12  26 Mg 2   -16.215     0.000   -15.610  -0.370   0.150   0.0845   3.1448   0.4999   0.0760   3.1281   0.4608
  12  27 Mg 2   -14.587     0.000   -13.850  -0.280   0.080   0.0934   3.0850   0.5325   0.0759   3.1273   0.4703
  12  28 Mg 2   -15.019     0.002   -13.210  -0.240   0.050   0.1126   2.9270   0.5460   0.0749   3.1362   0.4759
  12  29 Mg 2   -10.619     0.014   -10.180  -0.210   0.020   0.1044   3.0372   0.5918   0.0726   3.1779   0.4721
  12  30 Mg 2    -8.911     0.008    -7.460   0.220   0.010   0.1074   3.0770   0.5918   0.0704   3.2230   0.4681
  12  31 Mg 2    -3.217     0.012    -3.440  -0.100   0.000   0.1104   3.1159   0.5918   0.0686   3.2631   0.4646
  12  32 Mg 2    -0.955     0.018     0.820   0.000   0.000   0.1018   3.2843   0.5918   0.0665   3.3051   0.4602
  12  33 Mg 2     4.894     0.020     5.820   0.540   0.310   0.1022   3.3216   0.5918   0.0645   3.3301   0.4579
  12  34 Mg 2     8.809     0.231     9.460   0.510   0.240   0.1020   3.3582   0.6234   0.0635   3.3582   0.4551
  12  35 Mg 1    16.152     0.401    15.400   0.520   0.240   0.0909   3.5900   0.5659   0.0612   3.3940   0.4551
  12  36 Mg 1    21.424     0.503    20.360   0.450   0.210   0.0916   3.6288   0.5753   0.0596   3.4292   0.4551
  12  37 Mg 1    29.249     0.904    27.080   0.430   0.140   0.0956   3.6696   0.5823   0.0587   3.4637   0.4551
  12  38 Mg 1    34.996     0.503    32.810   0.460   0.100   0.0937   3.6989   0.5949   0.0591   3.4977   0.3958
  12  39 Mg 1    43.568     0.513    44.530   0.450   0.050   0.0950   3.7137   0.6140   0.0593   3.4478   0.4540
  12  40 Mg 1    50.235     0.904    46.030   0.480   0.020   0.0958   3.7314   0.6304   0.0585   3.4621   0.4548
  12  41 Mg 0                        56.060   0.460  -0.040   0.0997   3.7402   0.6489   0.0583   3.4730   0.4562
  12  42 Mg 0                        64.080  -0.310   0.110   0.1025   3.7670   0.6524   0.0574   3.4974   0.4551
  12  43 Mg 0                        72.820  -0.290   0.070   0.1038   3.7813   0.6671   0.0560   3.5286   0.4551
  12  44 Mg 0                        80.560  -0.290   0.040   0.1067   3.7381   0.7110   0.0565   3.4899   0.4867
  12  45 Mg 0                        87.580  -0.100  -0.010   0.1091   3.7248   0.7459   0.0564   3.5201   0.4551
  12  46 Mg 0                        96.230  -0.110   0.000   0.1103   3.7030   0.7821   0.0550   3.5500   0.4551
  13  21 Al 1    26.119     0.298    24.660   0.170   0.020   0.0694   2.8002   0.4386   0.0866   2.9657   0.5638
  13  22 Al 1    18.183     0.093    17.010   0.340   0.120   0.0723   2.8653   0.4583   0.0847   3.0143   0.5405
  13  23 Al 2     6.770     0.019     8.150   0.420   0.160   0.0739   2.9304   0.4771   0.0813   3.0770   0.5144
  13  24 Al 2    -0.057     0.003     1.250   0.530   0.190   0.0736   2.9931   0.4948   0.0787   3.0879   0.5048
  13  25 Al 2    -8.916     0.000    -6.120   0.500   0.130   0.0780   3.0906   0.4564   0.0788   3.1684   0.4551
  13  26 Al 2   -12.210     0.000    -9.880  -0.340   0.120   0.0818   3.1324   0.4724   0.0795   3.1480   0.4917
  13  27 Al 2   -17.197     0.000   -16.850  -0.380   0.160   0.0839   3.1685   0.4855   0.0783   3.1700   0.4779
  13  28 Al 2   -16.850     0.000   -17.090  -0.320   0.090   0.0892   3.1561   0.5069   0.0774   3.1869   0.4717
  13  29 Al 2   -18.215     0.001   -17.020  -0.280   0.050   0.1086   2.9677   0.5460   0.0765   3.2014   0.4764
  13  30 Al 2   -15.872     0.014   -14.600  -0.240   0.020   0.1118   3.0075   0.5460   0.0747   3.2381   0.4730
  13  31 Al 2   -14.954     0.020   -14.350  -0.230   0.010   0.1038   3.1159   0.5918   0.0722   3.2854   0.4673
  13  32 Al 2   -11.062     0.086   -10.510   0.120   0.000   0.1072   3.1540   0.5918   0.0708   3.3255   0.4629
  13  33 Al 2    -8.529     0.073    -8.850   0.080   0.000   0.0929   3.4568   0.5368   0.0685   3.3669   0.4586
  13  34 Al 2    -2.932     0.113    -3.080   0.140   0.060   0.1012   3.3582   0.5918   0.0675   3.3893   0.4569
  13  35 Al 2    -0.130     0.175    -0.800   0.300   0.160   0.1019   3.3940   0.5918   0.0659   3.4116   0.4541
  13  36 Al 2     5.782     0.215     6.340   0.380   0.210   0.0934   3.6165   0.5481   0.0651   3.4348   0.4520
  13  37 Al 2     9.946     0.331     8.550   0.360   0.160   0.0949   3.6593   0.5545   0.0637   3.4637   0.4551
  13  38 Al 2    16.051     0.731    14.190   0.370   0.130   0.0951   3.7034   0.5587   0.0620   3.4977   0.4551
  13  39 Al 2    21.396     1.472    22.770   0.390   0.090   0.0955   3.7363   0.5693   0.0603   3.5310   0.4551
  13  40 Al 1    29.295     0.699    30.280   0.450   0.030   0.0963   3.7605   0.5827   0.0588   3.5638   0.4551
  13  41 Al 1    35.704     0.801    34.220  -0.370   0.210   0.0979   3.7843   0.5959   0.0596   3.5960   0.3958
  13  42 Al 1    43.678     0.904    40.970  -0.340   0.150   0.0997   3.8039   0.6028   0.0605   3.5359   0.4523
  13  43 Al 0                        47.950  -0.320   0.110   0.1016   3.7995   0.6305   0.0600   3.5440   0.4553
  13  44 Al 0                        55.770  -0.280   0.060   0.1036   3.8124   0.6422   0.0592   3.5593   0.4551
  13  45 Al 0                        62.090  -0.280   0.040   0.1066   3.7610   0.6923   0.0578   3.5896   0.4551
  13  46 Al 0                        71.030   0.130  -0.010   0.1090   3.7495   0.7250   0.0585   3.5500   0.4867
  13  47 Al 0                        78.520   0.110  -0.010   0.1108   3.7318   0.7583   0.0572   3.5793   0.4867
  13  48 Al 0                        87.940  -0.110   0.020   0.1134   3.6574   0.8151   0.0567   3.6083   0.4551
  14  22 Si 1    32.164     0.200    30.330   0.130   0.020   0.0677   2.7992   0.4631   0.0880   2.9979   0.5810
  14  23 Si 1    23.772     0.196    20.430   0.170   0.050   0.0704   2.9070   0.4551   0.0887   3.0465   0.5592
  14  24 Si 2    10.755     0.019    10.810   0.290   0.060   0.0740   2.9612   0.4610   0.0860   3.1233   0.5144
  14  25 Si 2     3.824     0.010     1.990   0.430   0.130   0.0743   3.0188   0.4806   0.0826   3.1279   0.5176
  14  26 Si 2    -7.145     0.003    -6.660  -0.370   0.160   0.0782   3.0998   0.4634   0.0820   3.1614   0.5272
  14  27 Si 2   -12.384     0.000   -12.170  -0.380   0.160   0.0803   3.1609   0.4622   0.0816   3.1839   0.5085
  14  28 Si 2   -21.493     0.000   -21.680  -0.410   0.190   0.0827   3.2023   0.4703   0.0808   3.2079   0.4942
  14  29 Si 2   -21.895     0.000   -22.160  -0.340   0.120   0.0883   3.1838   0.5009   0.0803   3.2324   0.4801
  14  30 Si 2   -24.433     0.000   -22.590  -0.310   0.080   0.1018   3.0770   0.5144   0.0784   3.2532   0.4825
  14  31 Si 2   -22.949     0.000   -21.750  -0.250   0.040   0.1082   3.0465   0.5460   0.0768   3.2874   0.4793
  14  32 Si 2   -24.081     0.000   -21.850  -0.240   0.020   0.1007   3.1540   0.5918   0.0743   3.3344   0.4727
  14  33 Si 2   -20.493     0.016   -20.380  -0.110   0.000   0.1038   3.1913   0.5918   0.0728   3.3741   0.4678
  14  34 Si 2   -19.957     0.014   -19.440   0.070   0.000   0.1005   3.3582   0.5325   0.0707   3.4158   0.4626
  14  35 Si 2   -14.360     0.038   -14.290  -0.090   0.030   0.0926   3.5412   0.5264   0.0698   3.4378   0.4610
  14  36 Si 2   -12.483     0.123   -11.600   0.200   0.070   0.0927   3.5913   0.5331   0.0686   3.4609   0.4574
  14  37 Si 2    -6.580     0.169    -6.740   0.300   0.160   0.0928   3.6420   0.5352   0.0674   3.4841   0.4551
  14  38 Si 2    -4.067     0.137    -3.600   0.300   0.100   0.0939   3.6862   0.5400   0.0665   3.5055   0.4536
  14  39 Si 2     1.928     0.338     1.220   0.350   0.100   0.0941   3.7317   0.5426   0.0650   3.5310   0.4551
  14  40 Si 2     5.467     0.556     4.980  -0.320   0.160   0.0950   3.7684   0.5497   0.0635   3.5638   0.4551
  14  41 Si 2    13.563     1.844    11.680  -0.340   0.180   0.0958   3.7992   0.5594   0.0619   3.5960   0.4551
  14  42 Si 1    18.434     0.503    14.160  -0.370   0.210   0.0967   3.8286   0.5684   0.0605   3.6277   0.4551
  14  43 Si 1    26.697     0.699    21.910  -0.350   0.160   0.0982   3.8442   0.5792   0.0624   3.5920   0.4527
  14  44 Si 1    32.844     0.801    28.220  -0.330   0.120   0.1006   3.8355   0.6099   0.0618   3.5994   0.4564
  14  45 Si 0                        36.310  -0.280   0.070   0.1033   3.8193   0.6403   0.0614   3.6048   0.4594
  14  46 Si 0                        42.940  -0.290   0.060   0.1058   3.7921   0.6727   0.0609   3.6194   0.4551
  14  47 Si 0                        51.620   0.100   0.020   0.1076   3.7806   0.7044   0.0593   3.6488   0.4551
  14  48 Si 0                        58.500  -0.070   0.000   0.1102   3.7656   0.7357   0.0603   3.6083   0.4867
  14  49 Si 0                        68.620  -0.100   0.030   0.1126   3.6834   0.8036   0.0586   3.6369   0.4867
  14  50 Si 0                        76.620  -0.180   0.010   0.1158   3.6457   0.8387   0.0588   3.6651   0.4551
  14  58 Si 0                       147.210   0.430   0.230   0.1125   3.8496   0.9651   0.0534   3.7848   0.4675
  15  23 P  0                        38.140  -0.110   0.020   0.0679   2.8149   0.4549   0.0919   3.0244   0.6020
  15  24 P  1    31.997     0.503    27.850   0.180   0.070   0.0694   2.8931   0.4796   0.0905   3.0854   0.5681
  15  25 P  1    18.872     0.196    17.930   0.210   0.030   0.0720   2.9984   0.4551   0.0904   3.1072   0.5564
  15  26 P  1    10.973     0.196     8.810   0.360   0.080   0.0751   3.0437   0.4647   0.0891   3.1313   0.5384
  15  27 P  2    -0.717     0.026    -1.400  -0.300   0.090   0.0772   3.1047   0.4690   0.0875   3.1583   0.5281
  15  28 P  2    -7.159     0.003    -8.540  -0.320   0.100   0.0797   3.1623   0.4697   0.0868   3.1821   0.5185
  15  29 P  2   -16.953     0.001   -18.340  -0.350   0.120   0.0819   3.2057   0.4766   0.0866   3.1674   0.5325
  15  30 P  2   -20.201     0.000   -22.000  -0.280   0.070   0.0872   3.2039   0.4945   0.0848   3.2231   0.5088
  15  31 P  2   -24.441     0.000   -24.110  -0.240   0.030   0.1017   3.0465   0.5460   0.0826   3.2572   0.5035
  15  32 P  2   -24.305     0.000   -24.330  -0.210   0.010   0.1048   3.0846   0.5460   0.0808   3.2977   0.4927
  15  33 P  2   -26.337     0.001   -24.960  -0.240   0.010   0.0904   3.3359   0.5356   0.0779   3.3398   0.4888
  15  34 P  2   -24.558     0.005   -24.140  -0.100   0.000   0.1009   3.2279   0.5918   0.0769   3.3762   0.4863
  15  35 P  2   -24.858     0.002   -23.160   0.000   0.000   0.1033   3.2637   0.5918   0.0747   3.4153   0.4829
  15  36 P  2   -20.251     0.013   -21.010  -0.090   0.020   0.1003   3.4292   0.5325   0.0738   3.4365   0.4828
  15  37 P  2   -18.994     0.038   -19.040   0.230   0.080   0.0917   3.6073   0.5260   0.0726   3.4381   0.4990
  15  38 P  2   -14.758     0.103   -15.010   0.280   0.130   0.0917   3.6652   0.5214   0.0758   3.3674   0.5144
  15  39 P  2   -12.874     0.103   -13.190   0.270   0.070   0.0932   3.7023   0.5331   0.0742   3.4007   0.5144
  15  40 P  2    -8.107     0.139    -9.110   0.310   0.080   0.0933   3.7471   0.5351   0.0722   3.4335   0.5144
